time (days),conc (ug/mL),,Bakri et al. (2007),,stdv,,Anterior vitreous injection,,,,,,,,,,
0.069767442,1579.428571,,time (days),conc (ug/ml),conc (ug/ml),,Case 1a,,,Case 1b,,,Case 2a,,,Case 2b,
0.302325581,1572.571429,,0.929032258,414.932572,80.18,,time (days),conc (ug/ml),,time (days),conc (ug/ml),,time (days),conc (ug/ml),,time (days),conc (ug/ml)
0.488372093,1562.285714,,2.941935484,328.7410459,44.86,,0,859.6371545,,0,859.6575944,,0,859.6371338,,0,859.6572143
0.581395349,1545.142857,,7.896774194,129.5267744,25.43,,0.5,692.0477549,,0.5,323.5454284,,0.5,730.2834224,,0.5,333.5988427
0.674418605,1528,,14.96774194,48.46109895,4.91,,1,559.2748364,,1,127.0139967,,1,621.4888904,,1,132.3731995
0.76744186,1510.857143,,29.10967742,4.601732277,0.52,,1.5,464.5253735,,1.5,50.09312646,,1.5,545.0361184,,1.5,53.0358214
0.860465116,1490.285714,,,,,,2,390.617437,,2,19.79656203,,2,484.5055593,,2,21.38439954
0.906976744,1473.142857,,,,,,2.5,330.4062764,,2.5,7.838407211,,2.5,433.5505764,,2.5,8.64198044
1,1456,,Anh et al. (2013),,stdv,,3,280.263496,,3,3.106289532,,3,389.0765761,,3,3.493493665
1.046511628,1438.857143,,time (days),conc (ug/ml),conc (ug/ml),,3.5,237.9881736,,3.5,1.230499346,,3.5,349.5810656,,3.5,1.412751075
1.139534884,1418.285714,,0,1471.74364,79.8,,4,202.1171096,,4,0.487647402,,4,314.2326724,,4,0.571141229
1.23255814,1401.142857,,0.842074592,679.4661601,41.36,,4.5,171.6382898,,4.5,0.193264143,,4.5,282.5527854,,4.5,0.231055263
1.279069767,1387.428571,,4.920600233,334.5611625,37.07,,5,145.7411427,,5,0.076653454,,5,254.0801922,,5,0.093469337
1.325581395,1366.857143,,14.00495338,127.3195529,18.67,,5.5,123.7740524,,5.5,0.030400469,,5.5,228.4886379,,5.5,0.037835327
1.418604651,1346.285714,,30.129662,32.39585978,5.58,,6,105.1303337,,6,0.012057452,,6,205.4806423,,6,0.015308118
1.511627907,1322.285714,,,,,,6.5,89.30434513,,6.5,0.004782321,,6.5,184.794517,,6.5,0.006196318
1.558139535,1301.714286,,,,,,7,75.84632799,,7,0.001896646,,7,166.100736,,7,0.002507193
1.651162791,1284.571429,,,,,,7.5,64.41648073,,7.5,0.000752314,,7.5,149.2874574,,7.5,0.001014782
1.697674419,1264,,,,,,8,54.71157655,,8,0.000298347,,8,134.1464823,,8,0.000410641
1.790697674,1246.857143,,,,,,8.5,46.47225003,,8.5,0.000118348,,8.5,120.5467594,,8.5,0.000166193
1.837209302,1229.714286,,,,,,9,39.47523023,,9,4.69E-05,,9,108.3624747,,9,6.73E-05
1.930232558,1209.142857,,,,,,9.5,33.525887,,9.5,1.86E-05,,9.5,97.34733472,,9.5,2.72E-05
1.976744186,1192,,,,,,10,28.47393551,,10,7.38E-06,,10,87.49572664,,10,1.10E-05
2.023255814,1174.857143,,,,,,10.5,24.18455275,,10.5,2.93E-06,,10.5,78.62803977,,10.5,4.46E-06
2.11627907,1150.857143,,,,,,11,20.54303885,,11,1.16E-06,,11,70.65152511,,11,1.80E-06
2.209302326,1130.285714,,,,,,11.5,17.44896211,,11.5,4.61E-07,,11.5,63.50905609,,11.5,7.30E-07
2.302325581,1113.142857,,,,,,12,14.81929331,,12,1.83E-07,,12,57.05767667,,12,2.96E-07
2.348837209,1092.571429,,,,,,12.5,12.58636607,,12.5,7.25E-08,,12.5,51.28019879,,12.5,1.20E-07
2.441860465,1075.428571,,,,,,13,10.69055423,,13,2.87E-08,,13,46.08922175,,13,4.84E-08
2.534883721,1054.857143,,,,,,13.5,9.081134527,,13.5,1.14E-08,,13.5,41.40932596,,13.5,1.96E-08
2.627906977,1037.714286,,,,,,14,7.712850031,,14,4.52E-09,,14,37.22163413,,14,7.93E-09
